年/月,不含11.瓦片及紅磚之[磚瓦瓷類]指數,不含37.木門、38.木板之[木材及其製品類]指數,不含58.泵浦、62.感知器之[機電設備類]指數,不含72.玻璃製品之[雜項類]指數,不含99.挖土機租金、103.舖面機租金之[機具設備租金類]指數,不含11.瓦片及紅磚、37.木門、38.木板、58.泵浦、62.感知器、72.玻璃製品、99.挖土機租金、103.舖面機租金、[砂石及級配類]之總指數,11.瓦片及紅磚指數,37.木門指數,38.木板指數,58.泵浦指數,62.感知器指數,72.玻璃製品指數,99.挖土機租金指數,103.舖面機租金指數,砂石及級配類指數
112/03,107.92,110.63,112.94,110.20,110.26,109.64,110.55,112.05,106.98,112.96,119.99,114.05,105.99,110.73,105.03
112/04,108.09,110.42,113.31,111.61,110.41,109.74,110.55,112.05,106.98,112.96,120.59,114.05,106.51,110.73,105.04
112/05,108.25,110.00,113.52,112.14,110.50,109.11,110.55,112.64,105.97,112.96,120.88,114.05,106.51,110.73,105.06
112/06,108.29,108.59,113.06,113.56,110.68,108.86,112.31,113.14,104.97,112.96,120.88,114.05,106.70,111.24,105.06
112/07,109.56,107.52,112.97,113.70,110.68,109.06,115.14,113.26,104.18,112.96,120.88,114.05,106.70,111.24,105.48
112/08,109.63,107.12,113.29,113.91,110.76,109.16,115.47,114.61,104.10,112.96,120.88,114.05,106.43,111.24,105.47
112/09,110.11,106.45,113.43,113.97,110.87,109.38,115.47,115.62,103.26,112.96,120.70,114.25,106.46,111.55,105.43
112/10,110.11,106.32,113.75,113.18,111.34,109.58,115.47,116.13,103.20,112.96,122.69,114.25,108.07,111.58,106.11
112/11,110.11,106.25,113.22,113.06,111.58,109.46,115.47,116.13,103.20,112.96,122.69,113.87,108.07,111.95,106.57
112/12,110.12,105.93,113.54,113.15,111.97,109.98,115.47,116.13,102.51,112.96,122.69,113.79,108.07,111.99,107.35
113/01,110.18,105.61,113.75,113.44,112.26,110.37,115.85,116.39,102.48,112.96,122.78,113.79,108.22,112.07,107.68
113/02,110.20,105.52,113.74,113.58,112.37,110.58,115.85,117.11,102.46,112.96,122.93,113.79,109.09,112.09,107.76
113/03,110.22,105.55,113.97,113.81,112.27,110.61,115.85,116.99,102.46,112.87,122.93,113.79,109.18,112.14,107.33
113/04,110.25,105.39,115.36,115.20,113.35,111.19,115.85,116.99,102.99,112.87,122.93,113.79,110.04,116.35,107.95
113/05,109.46,105.27,118.38,115.66,113.88,111.73,116.66,117.74,103.64,112.87,122.93,113.79,110.24,116.63,107.95
